description,HS6
wool and hair waste of coarse animal hair including yarn waste but excluding garnetted stock,510330.0
wool and hair garnetted stock of wool or of fine or coarse animal hair,
wool and hair garnetted stock of wool or of fine or coarse animal hair,510400.0
wool carded,
wool carded,510510.0
wool wool tops and other combed wool in fragments,510521.0
wool wool tops and other combed wool other than in fragments,510529.0
hair fine animal hair carded or combed of kashmir cashmere goats,510531.0
hair fine animal hair carded or combed other than of kashmir cashmere goats,510539.0
hair coarse animal hair carded or combed,510540.0
yarn of carded wool containing 85 or more by weight of wool not put up for retail sale,
yarn of carded wool containing 85 or more by weight of wool not put up for retail sale,510610.0
yarn of carded wool containing less than 85 by weight of wool not put up for retail sale,510620.0
yarn of combed wool containing 85 or more by weight of wool not put up for retail sale,
yarn of combed wool containing 85 or more by weight of wool not put up for retail sale,510710.0
yarn of combed wool containing less than 85 by weight of wool not put up for retail sale,510720.0
yarn of fine animal hair carded not put up for retail sale,
yarn of fine animal hair carded not put up for retail sale,510810.0
yarn of fine animal hair combed not put up for retail sale,510820.0
yarn of wool or of fine animal hair containing 85 or more by weight of wool or fine animal hair put up for retail sale,
yarn of wool or of fine animal hair containing 85 or more by weight of wool or fine animal hair put up for retail sale,510910.0
yarn of wool or of fine animal hair containing less than 85 by weight of wool or fine animal hair put up for retail sale,510990.0
yarn of coarse animal hair or of horsehair including gimped horsehair yarn whether or not put up for retail sale,
yarn of coarse animal hair or of horsehair including gimped horsehair yarn whether or not put up for retail sale,511000.0
fabrics woven of carded wool or of carded fine animal hair containing 85 or more by weight of wool or of fine animal hair of a weight not exceeding 300gm2,
fabrics woven of carded wool or of carded fine animal hair containing 85 or more by weight of wool or of fine animal hair of a weight not exceeding 300gm2,511111.0
fabrics woven of carded wool or of carded fine animal hair containing 85 or more by weight of wool or of fine animal hair of a weight exceeding 300gm2,511119.0
fabrics woven of carded wool or carded fine animal hair containing less than 85 by weight of wool or fine animal hair mixed mainly or solely with manmade filaments,511120.0
fabrics woven of carded wool or carded fine animal hair containing less than 85 by weight of wool or fine animal hair mixed mainly or solely with manmade staple fibres,511130.0
fabrics woven of carded wool or carded fine animal hair containing less than 85 by weight of wool or fine animal hair mixed mainly or solely with fibres nec in heading no 5111,511190.0
fabrics woven of combed wool or combed fine animal hair containing 85 or more by weight of wool or fine animal hair of a weight not exceeding 200gm2,
fabrics woven of combed wool or combed fine animal hair containing 85 or more by weight of wool or fine animal hair of a weight not exceeding 200gm2,511211.0
fabrics woven of combed wool or combed fine animal hair containing 85 or more by weight of wool or fine animal hair of a weight exceeding 200gm2,511219.0
fabrics woven of combed wool or combed fine animal hair containing less than 85 by weight of wool or fine animal hair mixed mainly or solely with manmade filaments,511220.0
fabrics woven of combed wool or combed fine animal hair containing less than 85 by weight of wool or fine animal hair mixed mainly or solely with manmade staple fibres,511230.0
fabrics woven of combed wool or combed fine animal hair containing less than 85 by weight of wool or fine animal hair mixed mainly or solely with fibres nec in heading no 5112,511290.0
fabrics woven of coarse animal hair or of horsehair,
fabrics woven of coarse animal hair or of horsehair,511300.0
cotton not carded or combed,
cotton not carded or combed,
cotton not carded or combed,520100.0
cotton yarn waste including thread waste,
cotton yarn waste including thread waste,520210.0
cotton garnetted stock waste,520291.0
cotton waste other than garnetted stock and yarn including thread waste,520299.0
cotton carded or combed,
cotton carded or combed,520300.0
cotton sewing thread containing 85 or more by weight of cotton not put up for retail sale,
cotton sewing thread containing 85 or more by weight of cotton not put up for retail sale,520411.0
cotton sewing thread containing less than 85 by weight of cotton not put up for retail sale,520419.0
cotton sewing thread put up for retail sale,520420.0
cotton yarn not sewing thread single of uncombed fibres 85 or more by weight of cotton measuring 71429 decitex or more not exceeding 14 metric number not for retail sale,
cotton yarn not sewing thread single of uncombed fibres 85 or more by weight of cotton measuring 71429 decitex or more not exceeding 14 metric number not for retail sale,520511.0
cotton yarn not sewing thread single of uncombed fibres 85 or more by weight of cotton less than 71429 but not less than 23256 decitex exceeding 14 but not exceeding 43 metric number not for retail sale,520512.0
cotton yarn not sewing thread single of uncombed fibres 85 or more by weight of cotton less than 23256 but not less than 19231 decitex exceeding 43 but not exceeding 52 metric number not for retail sale,520513.0
cotton yarn not sewing thread single of uncombed fibres 85 or more by weight of cotton less than 19231 but not less than 125 decitex exceeding 52 but not exceeding 80 metric number not for retail sale,520514.0
cotton yarn not sewing thread single of uncombed fibres 85 or more by weight of cotton measuring less than 125 decitex exceeding 80 metric number not for retail sale,520515.0
cotton yarn not sewing thread single of combed fibres 85 or more by weight of cotton measuring 71429 decitex or more not exceeding 14 metric number not for retail sale,520521.0
cotton yarn not sewing thread single of combed fibres 85 or more by weight of cotton less than 71429 but not less than 23256 decitex exceeding 14 but not exceeding 43 metric number not for retail sale,520522.0
cotton yarn not sewing thread single of combed fibres 85 or more by weight of cotton less than 23256 but not less than 19231 decitex exceeding 43 but not exceeding 52 metric number not for retail sale,520523.0
cotton yarn not sewing thread single of combed fibres 85 or more by weight of cotton less than 19231 but not less than 125 decitex exceeding 52 but not exceeding 80 metric number not for retail sale,520524.0
